gameId,gameName,keeperName,keeperAvatar,hint,photoUrl,answer,enabled
catch,美食快遞 (B1F),LOPIA 店長 阿森,🍱,前往 B1 LOPIA 美食街入口找到「本日限定便當」立牌，輸入馬賽克遮住的關鍵字,,本日特價,0
whack,打福袋大師 (B1F),福袋姐 小漢,🎁,前往 B1 美食街中央福袋陳列區拍下「漢神精選福袋」價格牌,,漢神精選,0
memory,經典精品配對 (1F),閃耀經典 LISA,💎,前往 1F 中庭布娜飛香檳吧旁玻璃櫃名牌,,布娜飛,0
reaction,色彩極速 (1F),美妝大師 KIKO,💄,前往 1F 化妝品專櫃主打色號海報,,閃耀經典,0
snake,時尚連線 (2F),UNIQLO 店員 阿尤,🧵,前往 2F UNIQLO 店門口當季主推商品標籤,,國際時尚,0
puzzle,時尚拼版 (2F),造型師 ZARA,🧩,前往 2F ZARA 旁的 LOOK BOOK 展示牆主題標題,,時尚拼版,0
pacman,晶圓巡禮 (3F),寶山工程師 阿凱,🥽,前往 3F 流行生活區找到「ICSD × N2 製程展示」海報,,N2,0
rhythm,節奏台中 (3F),DJ 歌劇院,🎵,前往 3F 流行生活區音響展示找到台中歌劇院主題曲名牌,,台中歌劇院,0
breaker,良率挑戰 (4F),良率工程師 阿芬,🧱,前往 4F 童趣家居入口找到 ICSD 良率展示看板,,良率,0
dodge,製程接力 (4F),張博士,👨‍🔬,前往 4F 童趣家居中央找到製程四站立牌,,光刻,0
quiz,ICSD 知識王 (5F),林教授,👨‍🏫,前往 5F 米其林餐廳服務台找到「ICSD 知識挑戰」摺頁,,先進製程,0
shooter,雷射對位 (5F),EUV 工程師 Linda,🔬,前往 5F 餐廳走廊找到 EUV 對位實驗模型展示,,13.5,0
photo,寶山玄彬合照 (6F),小編 Mia,📸,前往 6F 娛樂區 Simon 主管立牌前找到打卡口令,,寶山玄彬,0
cook-boba,台中珍奶 (料理),飲品店長 小珍,🧋,前往 B1 LOPIA 飲料區或 2F 星巴克找到當日特調看板,,台中珍奶,0
cook-beef,上海湯包 (料理),包子師傅 老李,🥟,前往 B1 漢來上海湯包找到招牌湯包介紹牌,,漢來上海湯包,0
cook-dumpling,尚屋韓烤 (料理),屋馬尚屋 店員,🥩,前往 6F 屋馬尚屋韓式烤肉找到入口菜單看板,,尚屋韓烤,0
cook-shaved,島語甜品 (料理),島語自助餐,🍧,前往 5F 島語自助餐入口找到甜品 station 介紹牌,,芒果冰,0
cook-cake,台中太陽餅 (料理),烘焙師 小鳳,🍪,前往 B1 TOM CAT 烘焙坊或 5F 點心店找到當日烘焙看板,,太陽餅,0
photo-heart,漢神大愛心 (合照),活動主持人 阿明,🎤,前往 1F 中庭找到「漢神大愛心」活動立牌,,漢神大愛心,0
photo-jump,飛躍洲際 (合照),棒球教練 阿球,⚾,前往漢神洲際大門口或洲際棒球場連通走廊找到地標立牌,,洲際棒球場,0
photo-pyramid,寶山金字塔 (合照),6F 場控,🏛️,前往 6F 娛樂區或 7F 天際營地入口找到 ICSD 寶山金字塔立牌,,ICSD,0
emergency-1,寶山召集令 (緊急),Simon 助理,⚡,前往 1F 中庭活動指揮中心找到寶山召集令暗號卡,,寶山召集,0
emergency-2,玄彬密語 (緊急),5F 服務台,🧠,前往 5F 服務台領取玄彬密語謎題卡,,玄彬密語,0
emergency-3,漢神尋寶 (緊急),LOPIA 經理,🎁,前往 B1 LOPIA 找到隱藏的 ICSD × 漢神 寶藏貼紙,,ICSD漢神,0
